ID,LabelIdx,AreaName,Experiment,ObjectSlide,Cellline,Replicate,Staining,Condition,Section,NucMaskSum,Tuj1MaskSum,MAP2MaskSum,THMaskSum,Tuj1ByNuc,MAP2ByNuc,THByNuc,NucMaskHigh,NucMaskAlive,THFragmentation,SkelTH,Nodes,Links,THPercent,THByTuj1,THByMap2,THByNucAlive,Tuj1ByNucAlive,MAP2ByNucAlive,NucAliveByNuc,NucDeadByNuc
15_3,6,hMO1_TOX15_Rep2_Center_CTRL_Idx_6,TOX15,1811161,hMO1,2,181116,CTRL,Center,32757786,35366024,30997364,31042142,1.079621926,0.946259433,0.947626375,25551246,7206540,0.293728796,1043713,49559,101564,48.62619808,0.877739098,1.001444574,4.307495969,4.907490141,4.301282446,0.219994721,0.780005279
16_6,6,hMO1_TOX16_Rep1_Border_6OHDA_Idx_6,TOX16,18112321,hMO1,1,181123,6OHDA,Border,25816583,30736753,33405473,12846004,1.190581767,1.293954084,0.497587307,16228738,9587845,0.418252711,483130,31099,64135,45.79345088,0.417936273,0.384547885,1.339821826,3.20580412,3.484148211,0.371383192,0.628616808
12_30,6,hMO2_TOX12_Rep2_Border_6OHDA_Idx_6,TOX12,1811233,hMO2,2,181123,6OHDA,Border,12726328,35109401,17304776,1471411,2.758800575,1.359761905,0.115619447,3525359,9200969,0.547529548,72326,4667,10048,17.54897874,0.041909317,0.085029185,0.159919135,3.815837332,1.88075582,0.722986945,0.277013055
14_6,6,hMO2_TOX14_Rep1_Center_6OHDA_Idx_6,TOX14,1807021,hMO2,1,180702,6OHDA,Center,28946885,43636210,21927808,9473688,1.507457884,0.757518745,0.327278324,17645525,11301360,0.411355641,414021,25008,53822,52.75754422,0.217106114,0.432039901,0.838278579,3.8611468,1.940280462,0.390417138,0.609582862
16_85,6,hMO2_TOX16_Rep1_Center_CTRL_Idx_6,TOX16,1901253,hMO2,1,190125,CTRL,Center,11546684,27801489,25872387,6695020,2.407746588,2.240676804,0.579821878,3550455,7996229,0.385400342,287763,12264,26727,47.16548084,0.240815159,0.258770866,0.837272169,3.476825013,3.235573543,0.692513019,0.307486981
16_52,6,hMO2_TOX16_Rep2_Center_6OHDA_Idx_6,TOX16,19011922,hMO2,2,190119,6OHDA,Center,30425258,67910899,31445163,6023375,2.232056635,1.033521655,0.197972849,13707348,16717910,0.528920414,294993,17923,38625,21.24874119,0.088695262,0.191551718,0.360294738,4.062164409,1.880926683,0.549474716,0.450525284
12_53,6,hMO3_TOX12_Rep2_Border_6OHDA_Idx_6,TOX12,1811235,hMO3,2,181123,6OHDA,Border,17044223,31597023,18323217,3358928,1.853825956,1.075039736,0.197071348,8758535,8285688,0.505591665,171291,11547,24224,19.38278289,0.106305205,0.183315408,0.405389148,3.813445908,2.211429757,0.486128819,0.513871181
16_32,6,hMO3_TOX16_Rep1_Border_6OHDA_Idx_6,TOX16,18112323,hMO3,1,181123,6OHDA,Border,20066126,57152012,28976375,5173061,2.84818365,1.444044306,0.257800684,11076990,8989136,0.474520018,234042,16081,33922,26.30219544,0.090514066,0.178526852,0.575479223,6.357898245,3.223488331,0.447975658,0.552024342
16_7,7,hMO1_TOX16_Rep1_Border_6OHDA_Idx_7,TOX16,18112321,hMO1,1,181123,6OHDA,Border,13176210,24248489,22693171,6169117,1.840323507,1.722283646,0.468201175,5944766,7231444,0.449535322,244887,15069,31741,41.26441692,0.25441243,0.271849051,0.853096145,3.353201518,3.138124419,0.5488258,0.4511742
16_70,7,hMO1_TOX16_Rep1_Center_CTRL_Idx_7,TOX16,1901251,hMO1,1,190125,CTRL,Center,32159175,35462744,40678057,21638962,1.102725552,1.264897405,0.672870557,20746901,11412274,0.369593005,680869,40889,82491,48.67724868,0.610188597,0.531956627,1.89611308,3.107421361,3.564412929,0.35486837,0.64513163
12_19,7,hMO2_TOX12_Rep1_Border_6OHDA_Idx_7,TOX12,1811232,hMO2,1,181123,6OHDA,Border,11346679,40314686,13150773,3161542,3.552994317,1.158997536,0.278631483,5974028,5372651,0.410981414,133479,8602,18157,18.56353591,0.078421596,0.240407313,0.588451027,7.503685983,2.447725155,0.473499867,0.526500133
14_35,7,hMO2_TOX14_Rep2_Border_CTRL_Idx_7,TOX14,1901191,hMO2,2,190119,CTRL,Border,19560052,31311522,13323572,21302057,1.600789303,0.681162402,1.089059324,5305592,14254460,0.326323463,753911,42105,86054,64.94004796,0.680326463,1.598824775,1.494413468,2.196612288,0.934694966,0.728753686,0.271246314
16_20,7,hMO2_TOX16_Rep1_Center_6OHDA_Idx_7,TOX16,18112322,hMO2,1,181123,6OHDA,Center,24670469,18446639,9113969,2671218,0.747721456,0.369428283,0.108275931,9675294,14995175,0.456857508,179981,9163,20818,12.6779661,0.144807843,0.293090529,0.178138501,1.230171639,0.60779344,0.607818806,0.392181194
16_53,7,hMO2_TOX16_Rep2_Border_6OHDA_Idx_7,TOX16,19011922,hMO2,2,190119,6OHDA,Border,5524616,47736683,17163346,1190875,8.64072417,3.106703887,0.215557968,1116455,4408161,0.551140968,59036,3583,7845,23.19376026,0.024946748,0.069384781,0.270152338,10.8291605,3.893538825,0.797912651,0.202087349
14_7,7,hMO3_TOX14_Rep1_Border_6OHDA_Idx_7,TOX14,1807021,hMO3,1,180702,6OHDA,Border,7621734,41164867,8408620,1741095,5.400984474,1.103242386,0.228438174,2918034,4703700,0.506884461,77206,4915,10587,27.28525494,0.042295655,0.207060731,0.370154347,8.751592789,1.787660778,0.617143028,0.382856972
